,Event,Object,Seed,Hit
385,30,grs,429496720,"(0, 0.0)"
386,30,ss,429496720,"(0, 0.0)"
387,30,ngc_cords,429496720,"(0, 0.0)"
388,22,sgr,418759302,"(0, 0.0)"
389,22,grs,418759302,"(0, 0.0)"
390,22,ss,418759302,"(0, 0.0)"
391,22,ngc_cords,418759302,"(69, 0.069)"
392,23,sgr,612032826,"(0, 0.0)"
393,23,grs,612032826,"(0, 0.0)"
394,23,ss,612032826,"(0, 0.0)"
395,23,ngc_cords,612032826,"(0, 0.0)"
396,23,sgr,268435450,"(0, 0.0)"
397,23,grs,268435450,"(0, 0.0)"
398,23,ss,268435450,"(0, 0.0)"
399,23,ngc_cords,268435450,"(10, 0.01)"
400,30,sgr,730144424,"(0, 0.0)"
401,30,grs,730144424,"(43, 0.043)"
402,30,ss,730144424,"(0, 0.0)"
403,30,ngc_cords,730144424,"(0, 0.0)"
404,30,sgr,665719916,"(0, 0.0)"
405,30,grs,665719916,"(0, 0.0)"
406,30,ss,665719916,"(0, 0.0)"
407,30,ngc_cords,665719916,"(0, 0.0)"
408,23,sgr,558345736,"(97, 0.097)"
409,23,grs,558345736,"(10, 0.01)"
410,23,ss,558345736,"(167, 0.167)"
411,23,ngc_cords,558345736,"(0, 0.0)"
412,30,sgr,794568932,"(0, 0.0)"
413,30,grs,794568932,"(0, 0.0)"
414,30,ss,794568932,"(0, 0.0)"
415,30,ngc_cords,794568932,"(0, 0.0)"
416,30,sgr,816043768,"(0, 0.0)"
417,30,grs,816043768,"(0, 0.0)"
418,30,ss,816043768,"(0, 0.0)"
419,30,ngc_cords,816043768,"(5, 0.005)"
420,22,sgr,654982498,"(34, 0.034)"
421,22,grs,654982498,"(5, 0.005)"
422,22,ss,654982498,"(14, 0.014)"
423,22,ngc_cords,654982498,"(0, 0.0)"
424,30,sgr,998579874,"(0, 0.0)"
425,30,grs,998579874,"(0, 0.0)"
426,30,ss,998579874,"(0, 0.0)"
427,30,ngc_cords,998579874,"(0, 0.0)"
428,22,sgr,923417948,"(0, 0.0)"
429,22,grs,923417948,"(0, 0.0)"
430,22,ss,923417948,"(0, 0.0)"
431,22,ngc_cords,923417948,"(8, 0.008)"
432,22,sgr,751619260,"(0, 0.0)"
433,22,grs,751619260,"(0, 0.0)"
434,22,ss,751619260,"(0, 0.0)"
435,22,ngc_cords,751619260,"(0, 0.0)"
436,30,sgr,1020054710,"(0, 0.0)"
437,30,grs,1020054710,"(0, 0.0)"
438,30,ss,1020054710,"(0, 0.0)"
439,30,ngc_cords,1020054710,"(0, 0.0)"
440,30,sgr,332859958,"(0, 0.0)"
441,30,grs,332859958,"(0, 0.0)"
442,30,ss,332859958,"(0, 0.0)"
443,30,ngc_cords,332859958,"(1, 0.001)"
444,30,sgr,612032826,"(0, 0.0)"
445,30,grs,612032826,"(0, 0.0)"
446,30,ss,612032826,"(0, 0.0)"
447,30,ngc_cords,612032826,"(0, 0.0)"
448,22,sgr,204010942,"(0, 0.0)"
449,22,grs,204010942,"(0, 0.0)"
450,22,ss,204010942,"(0, 0.0)"
451,22,ngc_cords,204010942,"(0, 0.0)"
452,30,sgr,343597376,"(0, 0.0)"
453,30,grs,343597376,"(0, 0.0)"
454,30,ss,343597376,"(0, 0.0)"
455,30,ngc_cords,343597376,"(226, 0.226)"
456,23,sgr,944892784,"(0, 0.0)"
457,23,grs,944892784,"(0, 0.0)"
458,23,ss,944892784,"(0, 0.0)"
459,23,ngc_cords,944892784,"(0, 0.0)"
460,23,sgr,21474836,"(10, 0.01)"
461,23,grs,21474836,"(33, 0.033)"
462,23,ss,21474836,"(0, 0.0)"
463,23,ngc_cords,21474836,"(0, 0.0)"
464,30,sgr,1041529546,"(0, 0.0)"
465,30,grs,1041529546,"(0, 0.0)"
466,30,ss,1041529546,"(0, 0.0)"
467,30,ngc_cords,1041529546,"(0, 0.0)"
468,22,sgr,837518604,"(0, 0.0)"
469,22,grs,837518604,"(0, 0.0)"
470,22,ss,837518604,"(0, 0.0)"
471,22,ngc_cords,837518604,"(0, 0.0)"
472,30,sgr,150323852,"(0, 0.0)"
473,30,grs,150323852,"(2, 0.002008032128514056)"
474,30,ss,150323852,"(0, 0.0)"
475,30,ngc_cords,150323852,"(0, 0.0)"
476,22,sgr,858993440,"(0, 0.0)"
477,22,grs,858993440,"(0, 0.0)"
478,22,ss,858993440,"(0, 0.0)"
479,22,ngc_cords,858993440,"(0, 0.0)"
480,23,sgr,987842456,"(0, 0.0)"
481,23,grs,987842456,"(0, 0.0)"
482,23,ss,987842456,"(0, 0.0)"
483,23,ngc_cords,987842456,"(0, 0.0)"
484,30,sgr,547608318,"(0, 0.0)"
485,30,grs,547608318,"(0, 0.0)"
486,30,ss,547608318,"(0, 0.0)"
487,30,ngc_cords,547608318,"(0, 0.0)"
488,30,sgr,805306350,"(0, 0.0)"
489,30,grs,805306350,"(0, 0.0)"
490,30,ss,805306350,"(0, 0.0)"
491,30,ngc_cords,805306350,"(0, 0.0)"
492,23,sgr,257698032,"(17, 0.017)"
493,23,grs,257698032,"(45, 0.045)"
494,23,ss,257698032,"(0, 0.0)"
495,23,ngc_cords,257698032,"(0, 0.0)"
496,22,sgr,612032826,"(0, 0.0)"
497,22,grs,612032826,"(0, 0.0)"
498,22,ss,612032826,"(0, 0.0)"
499,22,ngc_cords,612032826,"(0, 0.0)"
500,22,sgr,1041529546,"(0, 0.0)"
501,22,grs,1041529546,"(0, 0.0)"
502,22,ss,1041529546,"(0, 0.0)"
503,22,ngc_cords,1041529546,"(17, 0.017)"
504,22,sgr,483183810,"(2, 0.002)"
505,22,grs,483183810,"(0, 0.0)"
506,22,ss,483183810,"(0, 0.0)"
507,22,ngc_cords,483183810,"(3, 0.003)"
508,23,sgr,762356678,"(57, 0.057)"
509,23,grs,762356678,"(38, 0.038)"
510,23,ss,762356678,"(47, 0.047)"
511,23,ngc_cords,762356678,"(29, 0.029)"
512,22,sgr,880468276,"(0, 0.0)"
513,22,grs,880468276,"(0, 0.0)"
514,22,ss,880468276,"(0, 0.0)"
515,22,ngc_cords,880468276,"(0, 0.0)"
516,23,sgr,955630202,"(0, 0.0)"
517,23,grs,955630202,"(32, 0.032)"
518,23,ss,955630202,"(0, 0.0)"
519,23,ngc_cords,955630202,"(0, 0.0)"
520,23,sgr,665719916,"(0, 0.0)"
521,23,grs,665719916,"(0, 0.0)"
522,23,ss,665719916,"(0, 0.0)"
523,23,ngc_cords,665719916,"(0, 0.0)"
524,30,sgr,526133482,"(0, 0.0)"
525,30,grs,526133482,"(0, 0.0)"
526,30,ss,526133482,"(0, 0.0)"
527,30,ngc_cords,526133482,"(40, 0.04)"
528,23,sgr,279172868,"(13, 0.013)"
529,23,grs,279172868,"(0, 0.0)"
530,23,ss,279172868,"(0, 0.0)"
531,23,ngc_cords,279172868,"(0, 0.0)"
532,22,sgr,579820572,"(0, 0.0)"
533,22,grs,579820572,"(0, 0.0)"
534,22,ss,579820572,"(0, 0.0)"
535,22,ngc_cords,579820572,"(0, 0.0)"
536,23,sgr,590557990,"(9, 0.009)"
537,23,grs,590557990,"(3, 0.003)"
538,23,ss,590557990,"(1, 0.001)"
539,23,ngc_cords,590557990,"(0, 0.0)"
540,23,sgr,966367620,"(151, 0.151)"
541,23,grs,966367620,"(5, 0.005)"
542,23,ss,966367620,"(371, 0.371)"
543,23,ngc_cords,966367620,"(0, 0.0)"
544,30,sgr,214748360,"(20, 0.02)"
545,30,grs,214748360,"(8, 0.008)"
546,30,ss,214748360,"(0, 0.0)"
547,30,ngc_cords,214748360,"(0, 0.0)"
548,30,sgr,901943112,"(0, 0.0)"
549,30,grs,901943112,"(0, 0.0)"
550,30,ss,901943112,"(0, 0.0)"
551,30,ngc_cords,901943112,"(0, 0.0)"
552,23,sgr,708669588,"(0, 0.0)"
553,23,grs,708669588,"(0, 0.0)"
554,23,ss,708669588,"(0, 0.0)"
555,23,ngc_cords,708669588,"(65, 0.065)"
556,23,sgr,504658646,"(0, 0.0)"
557,23,grs,504658646,"(0, 0.0)"
558,23,ss,504658646,"(0, 0.0)"
